system:index,CLOUD_COVERAGE_ASSESSMENT
COPERNICUS/S2/20180801T080711_20180801T082616_T35MRT,29.874
COPERNICUS/S2/20180806T080559_20180806T082133_T35MQT,88.312
COPERNICUS/S2/20180806T080559_20180806T082133_T35MRT,58.432
COPERNICUS/S2/20180811T080611_20180811T082459_T35MQT,1.899
COPERNICUS/S2/20180811T080611_20180811T082459_T35MRT,9.253
COPERNICUS/S2/20180816T080559_20180816T082305_T35MQT,0.487
COPERNICUS/S2/20180816T080559_20180816T082305_T35MRT,0
COPERNICUS/S2/20180821T080611_20180821T082324_T35MQT,98.565
COPERNICUS/S2/20180821T080611_20180821T082324_T35MRT,99.31
COPERNICUS/S2/20180826T080559_20180826T082920_T35MQT,57.65
COPERNICUS/S2/20180826T080559_20180826T082920_T35MRT,68.27
COPERNICUS/S2/20180831T080601_20180831T082243_T35MQT,73.473
COPERNICUS/S2/20180831T080601_20180831T082243_T35MRT,36.221
COPERNICUS/S2/20180905T080559_20180905T082859_T35MQT,46.737
COPERNICUS/S2/20180905T080559_20180905T082859_T35MRT,83.371
COPERNICUS/S2/20180910T080601_20180910T082814_T35MQT,22.256
COPERNICUS/S2/20180910T080601_20180910T082814_T35MRT,39.661
COPERNICUS/S2/20180915T080559_20180915T081817_T35MQT,24.333
COPERNICUS/S2/20180915T080559_20180915T081817_T35MRT,2.514
COPERNICUS/S2/20180920T080611_20180920T082203_T35MQT,67.668
COPERNICUS/S2/20180920T080611_20180920T082203_T35MRT,69.471
COPERNICUS/S2/20180925T080649_20180925T082252_T35MQT,55.343
COPERNICUS/S2/20180925T080649_20180925T082252_T35MRT,58.038
COPERNICUS/S2/20180930T080721_20180930T082558_T35MQT,47.402
COPERNICUS/S2/20180930T080721_20180930T082558_T35MRT,50.51
COPERNICUS/S2/20181005T080759_20181005T082932_T35MQT,78.478
COPERNICUS/S2/20181005T080759_20181005T082932_T35MRT,54.025
COPERNICUS/S2/20181010T080831_20181010T082416_T35MQT,94.106
COPERNICUS/S2/20181010T080831_20181010T082416_T35MRT,92.618
COPERNICUS/S2/20181015T080909_20181015T082517_T35MQT,13.45
COPERNICUS/S2/20181015T080909_20181015T082517_T35MRT,17.688
COPERNICUS/S2/20181020T080941_20181020T081830_T35MQT,23.893
COPERNICUS/S2/20181020T080941_20181020T081830_T35MRT,10.787
COPERNICUS/S2/20181025T081009_20181025T082105_T35MQT,93.459
COPERNICUS/S2/20181025T081009_20181025T082105_T35MRT,89.399
COPERNICUS/S2/20181030T081041_20181030T082011_T35MQT,58.823
COPERNICUS/S2/20181030T081041_20181030T082011_T35MRT,71.627
COPERNICUS/S2/20181104T081109_20181104T082106_T35MQT,68.345
COPERNICUS/S2/20181104T081109_20181104T082106_T35MRT,78.172
COPERNICUS/S2/20181109T081141_20181109T081341_T35MQT,98.781
COPERNICUS/S2/20181109T081141_20181109T081341_T35MRT,95.917
COPERNICUS/S2/20181114T082329_20181114T082935_T35MQT,83.449
COPERNICUS/S2/20181114T082329_20181114T082935_T35MRT,94.683
COPERNICUS/S2/20181119T081221_20181119T081744_T35MQT,7.444
COPERNICUS/S2/20181119T081221_20181119T081744_T35MRT,2.705
COPERNICUS/S2/20181124T081249_20181124T082405_T35MQT,99.932
COPERNICUS/S2/20181124T081249_20181124T082405_T35MRT,95.86
COPERNICUS/S2/20181129T081251_20181129T082025_T35MQT,69.603
COPERNICUS/S2/20181129T081251_20181129T082025_T35MRT,46.451
COPERNICUS/S2/20181204T081309_20181204T082950_T35MQT,64.862
COPERNICUS/S2/20181204T081309_20181204T082950_T35MRT,92.85
COPERNICUS/S2/20181209T081321_20181209T082050_T35MQT,99.504
COPERNICUS/S2/20181209T081321_20181209T082050_T35MRT,99.542
COPERNICUS/S2/20181214T081329_20181214T082636_T35MQT,50.889
COPERNICUS/S2/20181214T081329_20181214T082636_T35MRT,19.104
COPERNICUS/S2/20181219T081331_20181219T082906_T35MQT,84.262
COPERNICUS/S2/20181219T081331_20181219T082906_T35MRT,52.537
COPERNICUS/S2/20181224T081339_20181224T082803_T35MQT,89.534
COPERNICUS/S2/20181224T081339_20181224T082803_T35MRT,75.657
COPERNICUS/S2/20181229T081331_20181229T082102_T35MQT,19.475
COPERNICUS/S2/20181229T081331_20181229T082102_T35MRT,17.989
COPERNICUS/S2/20190103T081329_20190103T081915_T35MQT,33.153
COPERNICUS/S2/20190103T081329_20190103T081915_T35MRT,20.63
COPERNICUS/S2/20190103T081329_20190103T083048_T35MQT,29.182
COPERNICUS/S2/20190103T081329_20190103T083048_T35MRT,55.106
COPERNICUS/S2/20190108T081321_20190108T082903_T35MQT,35.696
COPERNICUS/S2/20190108T081321_20190108T082903_T35MRT,62.791
COPERNICUS/S2/20190113T081309_20190113T082654_T35MQT,14.447
COPERNICUS/S2/20190113T081309_20190113T082654_T35MRT,6.522
